,country,total_songs,iso_code
0,Argentina,455308,ARG
1,United States,455057,USA
2,Austria,454593,AUT
3,Brazil,454439,BRA
4,Australia,453103,AUS
5,Canada,452279,CAN
6,Global,451793,
7,United Kingdom,450721,GBR
8,Switzerland,449611,CHE
9,Philippines,449335,PHL
10,Malaysia,449333,MYS
11,Indonesia,449332,IDN
12,Belgium,449319,BEL
13,Denmark,449319,DNK
14,Italy,449311,ITA
15,France,449311,FRA
16,Ireland,449311,IRL
17,Costa Rica,449302,CRI
18,Ecuador,449289,ECU
19,Colombia,449286,COL
20,Spain,449259,ESP
21,New Zealand,449208,NZL
22,Sweden,449109,SWE
23,Finland,449108,FIN
24,Chile,449100,CHL
25,Turkey,449074,TUR
26,Poland,449070,POL
27,Peru,448965,PER
28,Netherlands,448913,NLD
29,Portugal,448843,PRT
30,Hong Kong,448842,HKG
31,Mexico,448832,MEX
32,Germany,448181,DEU
33,Czech Republic,448001,CZE
34,Norway,447614,NOR
35,Singapore,447283,SGP
36,Japan,447093,JPN
37,Taiwan,446679,TWN
38,Guatemala,443347,GTM
39,Uruguay,441708,URY
40,Hungary,434900,HUN
41,Dominican Republic,433141,DOM
42,Paraguay,427128,PRY
43,Panama,418278,PAN
44,Bolivia,404513,BOL
45,El Salvador,392878,SLV
46,Thailand,386207,THA
47,Honduras,376780,HND
48,Greece,370826,GRC
49,Slovakia,358086,SVK
50,Israel,330042,ISR
51,Romania,316921,ROU
52,Vietnam,312426,VNM
53,Iceland,302207,ISL
54,South Africa,299246,ZAF
55,India,253036,IND
56,Lithuania,243291,LTU
57,Latvia,240907,LVA
58,Saudi Arabia,231649,SAU
59,Nicaragua,200658,NIC
60,United Arab Emirates,198944,ARE
61,Estonia,198054,EST
62,Morocco,191537,MAR
63,Bulgaria,185507,BGR
64,Egypt,180469,EGY
65,Ukraine,127544,UKR
66,Russia,126837,RUS
67,Luxembourg,98053,LUX
68,Andorra,79592,AND
69,South Korea,76276,PRK
